x,y,z
-508.251159668,135.001495361,397.098632813
-508.095397949,135.165786743,398.072662354
-507.988616943,135.317626953,399.055297852
-507.856048584,135.398117065,400.043212891
-507.707214355,135.432830811,401.031463623
-507.572265625,135.444244385,402.022247314
-507.452270508,135.46031189,403.014892578
-507.290740967,135.479278564,404.001586914
-507.112670898,135.488830566,404.985565186
-506.947753906,135.472763062,405.971740723
-506.808135986,135.4269104,406.960876465
-506.661895752,135.356704712,407.947631836
-506.50012207,135.265182495,408.930206299
-506.347381592,135.152832031,409.912078857
-506.20223999,135.021102905,410.892669678
-506.051300049,134.869186401,411.869476318
-505.874755859,134.698028564,412.838775635
-505.686035156,134.506439209,413.801940918
-505.533935547,134.285934448,414.765380859
-505.377349854,134.05090332,415.72467041
-505.221435547,133.794815063,416.678649902
-505.098968506,133.516708374,417.631347656
-504.992340088,133.221847534,418.580932617
-504.87878418,132.915237427,419.525970459
-504.741424561,132.588882446,420.461181641
-504.581329346,132.2472229,421.387268066
-504.405212402,131.883956909,422.302154541
-504.20904541,131.498168945,423.203643799
-504.070281982,131.084564209,424.10345459
-503.960296631,130.644287109,424.994567871
-503.835357666,130.180938721,425.871887207
-503.658050537,129.683700562,426.721191406
-503.501251221,129.174575806,427.567474365
-503.358184814,128.654968262,428.409820557
-503.217529297,128.118331909,429.241821289
-503.073150635,127.560707092,430.059265137
-502.90234375,126.976982117,430.853057861
-502.71685791,126.372680664,431.627929688
-502.552490234,125.756599426,432.398284912
-502.39666748,125.123008728,433.156097412
-502.255493164,124.47303772,433.902832031
-502.111846924,123.807640076,434.635375977
-501.952087402,123.126525879,435.349914551
-501.796936035,122.429962158,436.050445557
-501.665557861,121.719299316,436.741607666
-501.548095703,120.99319458,437.4190979
-501.430175781,120.253166199,438.081237793
-501.304443359,119.500740051,438.727813721
-501.172241211,118.734008789,439.356018066
-501.038513184,117.952758789,439.96572876
-500.903411865,117.155563354,440.554138184
-500.788543701,116.343444824,441.126220703
-500.679901123,115.516990662,441.678649902
-500.565643311,114.676681519,442.208587646
-500.451507568,113.824241638,442.718811035
-500.33392334,112.961387634,443.210388184
-500.217437744,112.089805603,443.686584473
-500.108032227,111.209075928,444.147399902
-499.994689941,110.319190979,444.589263916
-499.879272461,109.418830872,445.00881958
-499.768280029,108.507728577,445.405792236
-499.663635254,107.585899353,445.778991699
-499.567993164,106.6561203,446.134460449
-499.476715088,105.720146179,446.474487305
-499.376861572,104.777610779,446.793304443
-499.272460938,103.828460693,447.090301514
-499.176055908,102.872337341,447.366973877
-499.082946777,101.910232544,447.623291016
-498.991027832,100.942123413,447.85635376
-498.897247314,99.969467163,448.068817139
-498.804046631,98.992454529,448.260559082
-498.714569092,98.011520386,448.433105469
-498.63293457,97.026275635,448.583557129
-498.555206299,96.037284851,448.709442139
-498.478942871,95.045692444,448.813995361
-498.404815674,94.052047729,448.898681641
-498.336029053,93.05644989,448.962280273
-498.268676758,92.059623718,449.004669189
-498.202941895,91.062042236,449.02722168
-498.139678955,90.064048767,449.026702881
-498.075653076,89.066383362,449.002960205
-498.015045166,88.069259644,448.957397461
-497.957244873,87.073120117,448.891326904
-497.900177002,86.07875824,448.8019104
-497.84463501,85.086448669,448.69128418
-497.789703369,84.096755981,448.558990479
-497.73248291,83.11000824,448.40713501
-497.677612305,82.126243591,448.236297607
-497.626220703,81.146430969,448.043121338
-497.578552246,80.171081543,447.827667236
-497.53729248,79.200546265,447.590270996
-497.498077393,78.235404968,447.331512451
-497.459381104,77.274810791,447.056274414
-497.422943115,76.320037842,446.761169434
-497.389923096,75.372314453,446.443786621
-497.357421875,74.43157959,446.106201172
-497.325378418,73.499031067,445.746582031
-497.293334961,72.573814392,445.368499756
-497.264801025,71.656448364,444.971496582
-497.238830566,70.748054504,444.554199219
-497.218536377,69.850196838,444.114379883
-497.198883057,68.960639954,443.657989502
-497.174560547,68.079208374,443.186309814
-497.148071289,67.207496643,442.697021484
-497.123382568,66.348060608,442.18637085
-497.103363037,65.503875732,441.650695801
-497.085784912,64.671813965,441.096282959
-497.067565918,63.852050781,440.523864746
-497.052429199,63.040111542,439.940307617
-497.040527344,62.235992432,439.345947266
-497.045715332,61.439338684,438.741546631
-497.054656982,60.658798218,438.116516113
-497.062835693,59.891956329,437.474731445
-497.068847656,59.142807007,436.812347412
-497.074005127,58.408164978,436.133911133
-497.079101563,57.689346313,435.438720703
-497.083709717,56.98708725,434.726806641
-497.085266113,56.300506592,433.999755859
-497.086181641,55.629356384,433.258422852
-497.082763672,54.977432251,432.500152588
-497.078094482,54.341506958,431.728424072
-497.077545166,53.721652985,430.943695068
-497.082489014,53.116947174,430.147277832
-497.097473145,52.530578613,429.337371826
-497.119354248,51.955539703,428.51953125
-497.135894775,51.39207077,427.693572998
-497.150634766,50.845527649,426.856262207
-497.164245605,50.322219849,426.004241943
-497.177185059,49.824871063,425.136779785
-497.187896729,49.348567963,424.257568359
-497.195007324,48.893844604,423.366973877
-497.199676514,48.463573456,422.464294434
-497.219390869,48.02986145,421.563446045
-497.247650146,47.606803894,420.657775879
-497.271606445,47.210273743,419.740081787
-497.295898438,46.842041016,418.810668945
-497.314758301,46.49887085,417.871582031
-497.327270508,46.17522049,416.925476074
-497.343597412,45.849586487,415.980133057
-497.361724854,45.530056,415.032745361
-497.381896973,45.261642456,414.069641113
-497.407287598,45.008975983,413.102416992
-497.432617188,44.774082184,412.130737305
-497.460784912,44.554634094,411.155517578
-497.486328125,44.356502533,410.175689697
-497.508575439,44.188323975,409.190185547
-497.526885986,44.048103333,408.20022583
-497.538452148,43.92440033,407.207977295
-497.546020508,43.813903809,406.214141846
-497.559051514,43.72297287,405.218383789
-497.576599121,43.662940979,404.220336914
-497.60345459,43.624645233,403.221435547
-497.628479004,43.59777832,402.222106934
-497.651794434,43.592048645,401.222381592
-497.675567627,43.613128662,400.222900391
-497.697265625,43.655448914,399.224029541
-497.716125488,43.716785431,398.226104736
-497.732269287,43.794494629,397.229248047
-497.743713379,43.886058807,396.233520508
-497.75177002,43.99640274,395.239654541
-497.761749268,44.129341125,394.248565674
-497.772674561,44.289001465,393.261444092
-497.787017822,44.475597382,392.27911377
-497.801269531,44.689620972,391.302398682
-497.813415527,44.921962738,390.329833984
-497.821411133,45.175735474,389.362609863
-497.825408936,45.454048157,388.402130127
-497.828186035,45.747371674,387.446105957
-497.832824707,46.055358887,386.494720459
-497.838653564,46.380561829,385.549102783
-497.842376709,46.723133087,384.609619141
-497.845184326,47.090866089,383.6796875
-497.847167969,47.478126526,382.757720947
-497.851348877,47.888366699,381.84576416
-497.856872559,48.314758301,380.941253662
-497.858459473,48.762531281,380.047119141
-497.854125977,49.229198456,379.162689209
-497.845977783,49.718318939,378.290496826
-497.833953857,50.229652405,377.431213379
-497.823791504,50.758457184,376.582519531
-497.816925049,51.302749634,375.743652344
-497.808654785,51.864177704,374.916168213
-497.796875,52.442211151,374.100250244
-497.78314209,53.035491943,373.295379639
-497.763275146,53.64899826,372.505950928
-497.739959717,54.279140472,371.729827881
-497.720550537,54.92647171,370.96786499
-497.706268311,55.587429047,370.217590332
-497.692779541,56.265563965,369.482788086
-497.676422119,56.961006165,368.764404297
-497.657989502,57.671283722,368.06072998
-497.635803223,58.396350861,367.372406006
-497.608734131,59.135292053,366.699188232
-497.580932617,59.888061523,366.041503906
-497.5519104,60.653045654,365.398101807
-497.521331787,61.431697845,364.771392822
-497.489379883,62.224098206,364.162231445
-497.455566406,63.03030777,363.571563721
-497.421020508,63.849224091,362.998687744
-497.384735107,64.680007935,362.443267822
-497.345581055,65.522628784,361.906188965
-497.305053711,66.376441956,361.387176514
-497.261169434,67.241645813,360.887695313
-497.21484375,68.116470337,360.405487061
-497.169006348,69.0,359.939361572
-497.121704102,69.893737793,359.493255615
-497.073364258,70.796195984,359.065185547
-497.021789551,71.707466125,358.656616211
-496.967346191,72.62689209,358.267150879
-496.911773682,73.554534912,357.897857666
-496.854187012,74.489707947,357.548370361
-496.79574585,75.432052612,357.21887207
